1;"Progress Software";"";"prg";"";"";"progress@progress.com";"";"";"Street 16";"Boston";"13425";"USA";""
3;"Päästeamet";"";"PÄA";"";"";"rescue@rescue.ee";"628 2026/2000";"628 2099";"Raua 2";"Tallinn";"10124";"";""
6;"Kaitsepolitseiamet";"";"KAPO";"";"";"kapo@kapo.ee";"612 1400";"612 1401";"Toompuiestee 3";"Tallinn";"10142";"";""
8;"Sisekaitseakadeemia";"";"SKA";"";"";"postipoiss@sisekaitse.ee";"696 5644";"696 5343";"Kase 61";"Tallinn";"12012";"";""
9;"Siseministeerium";"";"SiM";"";"sisemin@online.ee";"";"";"612 5087";"Pikk 61";"Tallinn";"15065";"";""
12;"Riigiarhiiv";"";"";"";"";"riigiarhiiv@ra.ee";"693 800";"661 6230";"Maneezi 4";"Tallinn";"15019";"EST";""
13;"Sotsiaalministeerium";"";"SoM";"";"";"info@sm.ee";"626 9301";"699 2209";"Gonsiori 29";"Tallinn";"15027";"";""
14;"Riigikantselei";"";"RK";"";"";"riigikantselei@riigikantselei.ee";"693 5860";"693 5914";"Rahukohtu 3";"Tallinn";"15161";"";""
16;"Välisministeerium";"";"VaM";"";"";"post@vm.ee";"631 7000";"631 7099";"Islandi väljak 1";"Tallinn";"15049";"";""
17;"Priisle Kinnisvarahalduse AS";"";"";"";"";"";"621 8895";"634 0365";"Mahtra 48";"Tallinn";"13812";"";""
18;"Euraapa Komisjoni Delegatsioon Eestis";"";"";"";"";"eudelest@cec.eu.int";"6264 400";"6264 439";"Kohtu 10";"Tallinn";"10130";"";""
19;"EMT AS";"";"";"";"";"info@emt.ee";"6397 111";"6397 117";"Lasnameä64";"Tallinn";"19095";"";""
21;"Justiitsministeerium";"";"JuM";"";"";"info@just.ee";"620 8100";"620 8109";"Tõnismägi 5a";"Tallinn";"15191";"";""
22;"Andmevara AS";"";"";"Andmevara Ltd";"";"mail@andmevara.ee";"67 15 110";"67 15 275";"Pärnu Mnt.139d/1";"Tallinn";"11317";"";""
25;"Kohaliku omavalitsuse osakond";"";"KOo";"";"";"omavalitsus@sisemin.gov.ee";"";"";"";"";"";"";""
26;"Personaliosakond";"";"PRO";"";"";"personal@sisemin.gov.ee";"";"";"";"";"";"";""
28;"Rahvastiku toimingute osakond";"";"RTO";"";"";"perek@sisemin.gov.ee";"";"";"";"";"";"";""
29;"Regionaalarengu osakond";"";"REGO";"";"";"regionaal@sisemin.gov.ee";"";"";"";"";"";"";""
30;"Sisejulgeoleku poliitika osakond";"";"SJPO";"";"";"sjapo@sisemin.gov.ee";"";"";"";"";"";"";""
33;"Usuasjade osakond";"";"UAO";"";"";"usuasjad@sisemin.gov.ee";"";"";"";"";"";"";""
36;"Õigusloomeosakond";"";"ÕLO";"";"";"oigusosak@sisemin.gov.ee";"";"";"";"";"";"";""
37;"Üldosakond";"";"ÜO";"";"";"yldosak@sisemin.gov.ee";"";"";"";"";"";"";""
38;"Rahandusosakond";"";"RHO";"";"";"rahandus@sisemin.gov.ee";"";"";"";"";"";"";""
39;"Eesti Telefon";"";"ET";"";"";"info@et.ee";"639 7353";"639 7200";"Kreutzwaldi 12";"Tallinn";"15033";"";""
40;"Haridus- ja Teadusministeerium";"";"HTM";"";"";"hm@hm.ee";"";"735 0250";"Munga 18";"Tartu";"50088";"";"Üldosakond Tõnismägi 9/11 Tallinn, tel 628 1351"
41;"Kaitseministeerium";"";"KaM";"";"";"kantselei@kmin.ee";"717 0022";"717 0001";"Sakala 1";"Tallinn";"15094";"";""
